cantGimnasios,cantPokeparadas,tamMochila,distanciaOriginal,distanciaNueva,cantPermutacionesParaMejorar,cantPermutacionesParaMantener,cantReemplazosParaMejorar,cantReemplazosParaMantener,tamCamino,tiempo
1,0,12,0,0,0,0,0,0,1,2036
1,0,12,0,0,0,0,0,0,1,1318
1,0,12,0,0,0,0,0,0,1,1160
1,0,12,0,0,0,0,0,0,1,1084
1,0,12,0,0,0,0,0,0,1,970
1,0,12,0,0,0,0,0,0,1,969
1,0,12,0,0,0,0,0,0,1,1003
1,0,12,0,0,0,0,0,0,1,963
1,0,12,0,0,0,0,0,0,1,1058
1,0,12,0,0,0,0,0,0,1,1075
1,0,12,0,0,0,0,0,0,1,1080
1,0,12,0,0,0,0,0,0,1,1035
1,0,12,0,0,0,0,0,0,1,1021
1,0,12,0,0,0,0,0,0,1,966
1,0,12,0,0,0,0,0,0,1,1057
1,0,12,0,0,0,0,0,0,1,949
1,0,12,0,0,0,0,0,0,1,1005
1,0,12,0,0,0,0,0,0,1,1038
1,0,12,0,0,0,0,0,0,1,1083
1,0,12,0,0,0,0,0,0,1,1020
1,0,12,0,0,0,0,0,0,1,1030
1,0,12,0,0,0,0,0,0,1,984
1,0,12,0,0,0,0,0,0,1,1022
1,0,12,0,0,0,0,0,0,1,1069
1,0,12,0,0,0,0,0,0,1,992
1,0,12,0,0,0,0,0,0,1,958
1,0,12,0,0,0,0,0,0,1,1089
1,0,12,0,0,0,0,0,0,1,947
1,0,12,0,0,0,0,0,0,1,1108
1,0,12,0,0,0,0,0,0,1,995
1,0,12,0,0,0,0,0,0,1,982
1,0,12,0,0,0,0,0,0,1,1023
1,0,12,0,0,0,0,0,0,1,975
1,0,12,0,0,0,0,0,0,1,921
1,0,12,0,0,0,0,0,0,1,1034
1,0,12,0,0,0,0,0,0,1,958
1,0,12,0,0,0,0,0,0,1,1018
1,0,12,0,0,0,0,0,0,1,991
1,0,12,0,0,0,0,0,0,1,971
1,0,12,0,0,0,0,0,0,1,1022
1,0,12,0,0,0,0,0,0,1,967
1,0,12,0,0,0,0,0,0,1,1134
1,0,12,0,0,0,0,0,0,1,961
1,0,12,0,0,0,0,0,0,1,986
1,0,12,0,0,0,0,0,0,1,1067
1,0,12,0,0,0,0,0,0,1,981
1,0,12,0,0,0,0,0,0,1,999
1,0,12,0,0,0,0,0,0,1,1063
1,0,12,0,0,0,0,0,0,1,1010
1,0,12,0,0,0,0,0,0,1,966
1,0,12,0,0,0,0,0,0,1,11141
1,0,12,0,0,0,0,0,0,1,1069
1,0,12,0,0,0,0,0,0,1,1052
1,0,12,0,0,0,0,0,0,1,1043
1,0,12,0,0,0,0,0,0,1,1053
1,0,12,0,0,0,0,0,0,1,1149
1,0,12,0,0,0,0,0,0,1,1028
1,0,12,0,0,0,0,0,0,1,1083
1,0,12,0,0,0,0,0,0,1,1035
1,0,12,0,0,0,0,0,0,1,1030
1,0,12,0,0,0,0,0,0,1,1068
1,0,12,0,0,0,0,0,0,1,1123
1,0,12,0,0,0,0,0,0,1,1084
1,0,12,0,0,0,0,0,0,1,1172
1,0,12,0,0,0,0,0,0,1,1065
1,0,12,0,0,0,0,0,0,1,1039
1,0,12,0,0,0,0,0,0,1,1028
1,0,12,0,0,0,0,0,0,1,1034
1,0,12,0,0,0,0,0,0,1,1033
1,0,12,0,0,0,0,0,0,1,1043
1,0,12,0,0,0,0,0,0,1,1215
1,0,12,0,0,0,0,0,0,1,1188
1,0,12,0,0,0,0,0,0,1,1141
1,0,12,0,0,0,0,0,0,1,1062
1,0,12,0,0,0,0,0,0,1,1039
1,0,12,0,0,0,0,0,0,1,1009
1,0,12,0,0,0,0,0,0,1,1125
1,0,12,0,0,0,0,0,0,1,979
1,0,12,0,0,0,0,0,0,1,1121
1,0,12,0,0,0,0,0,0,1,1093
1,0,12,0,0,0,0,0,0,1,1053
1,0,12,0,0,0,0,0,0,1,1307
1,0,12,0,0,0,0,0,0,1,1111
1,0,12,0,0,0,0,0,0,1,1145
1,0,12,0,0,0,0,0,0,1,1005
1,0,12,0,0,0,0,0,0,1,1023
